ThreadsPerBlock,Blocks,AvgTimeMs
827,8,0.021623
828,8,0.021631
829,8,0.021723
830,8,0.021733
831,8,0.021736
832,8,0.021756
833,8,0.021673
834,8,0.021569
835,8,0.021502
836,8,0.021549
837,8,0.021523
838,8,0.021498
839,8,0.021456
840,8,0.021481
841,8,0.021432
842,8,0.021445
843,8,0.021431
844,8,0.021374
845,8,0.021347
846,8,0.021407
847,8,0.021425
848,8,0.021460
849,8,0.021432
850,8,0.021545
851,8,0.021526
852,8,0.021597
853,8,0.021501
854,8,0.021575
855,8,0.021525
856,8,0.021490
857,8,0.021467
858,8,0.021458
859,8,0.021425
860,8,0.021400
861,8,0.021410
862,8,0.021513
863,8,0.021519
864,8,0.021534
865,8,0.021675
866,8,0.021674
867,8,0.021516
868,8,0.021566
869,8,0.021592
870,8,0.021630
871,8,0.021648
872,8,0.021669
873,8,0.021629
874,8,0.021627
875,8,0.021624
876,8,0.021645
877,8,0.021637
878,8,0.021724
879,8,0.021760
880,8,0.021696
881,8,0.021756
882,8,0.021819
883,8,0.021752
884,8,0.021813
885,8,0.021719
886,8,0.021722
887,8,0.021754
888,8,0.021772
889,8,0.021782
890,8,0.021769
891,8,0.021716
892,8,0.021695
893,7,0.021675
894,7,0.021700
895,7,0.021728
896,7,0.021640
897,7,0.021843
898,7,0.021854
899,7,0.021816
900,7,0.021808
901,7,0.021796
902,7,0.021750
903,7,0.021731
904,7,0.021722
905,7,0.021699
906,7,0.021719
907,7,0.021696
908,7,0.021706
909,7,0.021710
910,7,0.021715
911,7,0.021764
912,7,0.021733
913,7,0.021727
914,7,0.021713
915,7,0.021707
916,7,0.021711
917,7,0.021736
918,7,0.021719
919,7,0.021756
920,7,0.021740
921,7,0.021733
922,7,0.021748
923,7,0.021733
924,7,0.021734
925,7,0.021764
926,7,0.021799
927,7,0.021790
928,7,0.021772
929,7,0.021932
930,7,0.021945
931,7,0.022013
932,7,0.022056
933,7,0.022069
934,7,0.022116
935,7,0.022146
936,7,0.022135
937,7,0.022173
938,7,0.022111
939,7,0.022126
940,7,0.022136
941,7,0.022254
942,7,0.022344
943,7,0.022414
944,7,0.022532
945,7,0.022572
946,7,0.022634
947,7,0.022733
948,7,0.022696
949,7,0.022738
950,7,0.022709
951,7,0.022622
952,7,0.022585
953,7,0.022490
954,7,0.022486
955,7,0.022562
956,7,0.022533
957,7,0.022650
958,7,0.022667
959,7,0.022691
960,7,0.022717
961,7,0.022773
962,7,0.022846
963,7,0.022907
964,7,0.022955
965,7,0.023075
966,7,0.023168
967,7,0.023238
968,7,0.023320
969,7,0.023362
970,7,0.023428
971,7,0.023473
972,7,0.023464
973,7,0.023539
974,7,0.023457
975,7,0.023494
976,7,0.023512
977,7,0.023588
978,7,0.023670
979,7,0.023658
980,7,0.023709
981,7,0.023751
982,7,0.023803
983,7,0.023850
984,7,0.023857
985,7,0.023840
986,7,0.023860
987,7,0.023840
988,7,0.023814
989,7,0.023825
990,7,0.023832
991,7,0.023896
992,7,0.023940
993,7,0.023772
994,7,0.023821
995,7,0.023844
996,7,0.023813
997,7,0.023911
998,7,0.023930
999,7,0.023971
1000,7,0.023962
1001,7,0.023983
1002,7,0.023993
1003,7,0.024014
1004,7,0.024022
1005,7,0.024025
1006,7,0.024004
1007,7,0.024007
1008,7,0.024033
1009,7,0.024030
1010,7,0.024055
1011,7,0.024031
1012,7,0.024000
1013,7,0.023974
1014,7,0.023927
1015,7,0.023932
1016,7,0.023931
1017,7,0.023915
1018,7,0.023899
1019,7,0.023874
1020,7,0.023807
1021,7,0.023814
1022,7,0.023754
1023,7,0.023719
1024,7,0.023675
